service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20130818,20130818
2,0,0,0,0,0,1,0,20130817,20130817
3,0,0,0,0,1,0,0,20130816,20130816
4,0,0,0,0,1,1,0,20130816,20130817
5,0,0,0,1,0,0,0,20130815,20130815
6,0,0,0,1,1,0,0,20130815,20130816
7,0,0,0,1,1,1,0,20130815,20130817
8,0,0,1,0,0,0,0,20130814,20130814
9,0,0,1,1,0,0,0,20130814,20130815
10,0,0,1,1,1,0,0,20130814,20130816
11,0,1,0,0,0,0,0,20130813,20130813
12,0,1,0,0,1,0,0,20130813,20130816
13,0,1,1,0,0,0,0,20130813,20130814
14,0,1,1,0,1,0,0,20130813,20130816
15,0,1,1,1,0,0,0,20130813,20130815
16,0,1,1,1,0,1,0,20130813,20130817
17,0,1,1,1,1,0,0,20130813,20130816
18,0,1,1,1,1,1,0,20130813,20130817
19,1,0,0,0,0,0,0,20130812,20130812
20,1,0,0,0,1,0,0,20130812,20130816
21,1,0,0,1,0,0,0,20130812,20130815
22,1,0,0,1,1,0,0,20130812,20130816
23,1,0,1,0,1,0,0,20130812,20130816
24,1,0,1,1,1,0,0,20130812,20130816
25,1,1,0,0,0,0,0,20130812,20130813
26,1,1,0,0,1,0,0,20130812,20130816
27,1,1,0,1,0,0,0,20130812,20130815
28,1,1,0,1,1,0,0,20130812,20130816
29,1,1,1,0,0,0,0,20130812,20130814
30,1,1,1,0,1,0,0,20130812,20130816
31,1,1,1,1,0,0,0,20130812,20130815
32,1,1,1,1,1,0,0,20130812,20130816
33,1,1,1,1,1,1,0,20130812,20130817
34,0,0,0,0,0,0,1,20130818,20130825
35,0,0,0,0,0,1,0,20130817,20130824
36,0,0,0,0,1,0,0,20130816,20130823
37,0,0,0,1,0,0,0,20130815,20130822
38,0,0,0,1,1,0,0,20130815,20130823
39,0,0,1,1,0,0,0,20130814,20130822
40,0,1,1,1,0,0,0,20130813,20130822
41,0,1,1,1,1,0,0,20130813,20130823
42,0,1,1,1,1,1,0,20130813,20130824
43,1,0,0,0,0,0,0,20130812,20130819
44,1,0,0,0,1,0,0,20130812,20130823
45,1,0,1,0,0,0,0,20130812,20130821
47,1,0,1,1,0,0,0,20130812,20130822
48,1,1,0,0,0,0,0,20130812,20130820
49,1,1,0,1,1,0,0,20130812,20130823
50,1,1,1,0,0,0,0,20130812,20130821
51,1,1,1,0,1,0,0,20130812,20130823
52,1,1,1,1,0,0,0,20130812,20130822
53,1,1,1,1,0,1,0,20130812,20130824
54,1,1,1,1,1,0,0,20130812,20130823
55,1,1,1,1,1,1,0,20130812,20130824
56,0,0,0,0,0,0,1,20130818,20130901
57,0,0,0,0,0,1,0,20130817,20130831
58,0,0,0,0,1,0,0,20130816,20130830
59,0,0,0,1,0,0,0,20130815,20130829
60,0,0,0,1,1,0,0,20130815,20130830
61,0,0,1,0,0,0,0,20130814,20130828
62,0,1,0,0,0,0,0,20130813,20130827
63,0,1,1,1,0,0,0,20130813,20130829
64,0,1,1,1,1,0,0,20130813,20130830
65,1,0,0,0,0,0,0,20130812,20130826
66,1,0,0,0,1,0,0,20130812,20130830
67,1,0,0,0,1,1,0,20130812,20130831
68,1,1,0,1,0,0,0,20130812,20130829
69,1,1,0,1,1,0,0,20130812,20130830
70,1,1,1,1,0,0,0,20130812,20130829
71,1,1,1,1,1,0,0,20130812,20130830
72,1,1,1,1,1,1,0,20130812,20130831
73,0,0,0,0,0,0,1,20130818,20130908
74,0,0,0,0,0,1,0,20130817,20130907
75,0,0,0,0,1,0,0,20130816,20130906
76,0,0,0,1,0,0,0,20130815,20130905
77,0,0,1,0,0,0,0,20130814,20130904
78,0,0,1,1,1,1,0,20130814,20130907
79,0,1,0,1,0,0,0,20130813,20130905
80,0,1,1,1,1,0,0,20130813,20130906
81,1,0,0,0,0,0,0,20130812,20130902
83,1,1,1,0,0,0,0,20130812,20130904
84,1,1,1,1,0,0,0,20130812,20130905
85,1,1,1,1,1,0,0,20130812,20130906
86,1,1,1,1,1,1,0,20130812,20130907
87,0,0,0,0,0,0,1,20130818,20130915
88,0,0,0,0,0,1,0,20130817,20130914
89,0,0,0,0,1,0,0,20130816,20130913
91,0,0,1,0,0,0,0,20130814,20130911
92,0,1,0,0,1,0,0,20130813,20130913
93,0,1,1,1,0,0,0,20130813,20130912
94,0,1,1,1,1,0,0,20130813,20130913
96,1,0,0,0,0,0,0,20130812,20130909
98,1,1,0,1,1,0,0,20130812,20130913
99,1,1,1,1,0,0,0,20130812,20130912
100,1,1,1,1,1,0,0,20130812,20130913
101,1,1,1,1,1,1,0,20130812,20130914
102,0,0,0,0,0,0,1,20130818,20130922
103,0,0,0,0,0,1,0,20130817,20130921
